순번,산업분류코드,산업분류명칭,데이터기준일
140,10711,떡류 제조업,2022-08-02
141,10712,빵류 제조업,2022-08-02
142,10713,과자류 및 코코아 제품 제조업,2022-08-02
143,1072,설탕 제조업,2022-08-02
144,10720,설탕 제조업,2022-08-02
145,1073,면류,2022-08-02
146,10730,면류,2022-08-02
147,1074,조미료 및 식품 첨가물 제조업,2022-08-02
148,10741,식초,2022-08-02
149,10742,천연 및 혼합 조제 조미료 제조업,2022-08-02
150,10743,장류 제조업,2022-08-02
151,10749,기타 식품 첨가물 제조업,2022-08-02
152,1075,도시락 및 식사용 조리식품 제조업,2022-08-02
153,10751,도시락류 제조업,2022-08-02
154,10759,기타 식사용 가공처리 조리식품 제조업,2022-08-02
155,1079,기타 식료품 제조업,2022-08-02
156,10791,커피 가공업,2022-08-02
157,10792,차류 가공업,2022-08-02
158,10793,수프 및 균질화식품 제조업,2022-08-02
159,10794,두부 및 유사 식품 제조업,2022-08-02
160,10795,인삼식품 제조업,2022-08-02
161,10796,건강 보조용 액화식품 제조업,2022-08-02
162,10797,건강 기능식품 제조업,2022-08-02
163,10799,그 외 기타 식료품 제조업,2022-08-02
164,108,동물용 사료 및 조제식품 제조업,2022-08-02
165,1080,동물용 사료 및 조제식품 제조업,2022-08-02
166,10801,배합 사료 제조업,2022-08-02
167,10802,단미사료 및 기타 사료 제조업,2022-08-02
168,11,음료 제조업,2022-08-02
169,111,알코올 음료 제조업,2022-08-02
170,1111,발효주 제조업,2022-08-02
171,11111,탁주 및 약주 제조업,2022-08-02
172,11112,맥아 및 맥주 제조업,2022-08-02
173,11119,기타 발효주 제조업,2022-08-02
174,1112,증류주 및 합성주 제조업,2022-08-02
175,11121,주정 제조업,2022-08-02
176,11122,소주 제조업,2022-08-02
177,11129,기타 증류주 및 합성주 제조업,2022-08-02
178,112,비알코올 음료 및 얼음 제조업,2022-08-02
179,1120,비알코올 음료 및 얼음 제조업,2022-08-02
180,11201,얼음 제조업,2022-08-02
181,11202,생수 생산업,2022-08-02
182,11209,기타 비알코올 음료 제조업,2022-08-02
183,12,담배 제조업,2022-08-02
184,120,담배 제조업,2022-08-02
185,1200,담배 제조업,2022-08-02
186,12000,담배제품 제조업,2022-08-02
187,13,섬유제품 제조업; 의복 제외,2022-08-02
188,131,방적 및 가공사 제조업,2022-08-02
189,1310,방적 및 가공사 제조업,2022-08-02
190,13101,면 방적업,2022-08-02
191,13102,모 방적업,2022-08-02
192,13103,화학섬유 방적업,2022-08-02
193,13104,연사 및 가공사 제조업,2022-08-02
194,13109,기타 방적업,2022-08-02
195,132,직물 직조 및 직물제품 제조업,2022-08-02
196,1321,직물 직조업,2022-08-02
197,13211,면직물 직조업,2022-08-02
198,13212,모직물 직조업,2022-08-02
199,13213,화학섬유직물 직조업,2022-08-02
200,13219,특수직물 및 기타 직물 직조업,2022-08-02
201,1322,직물제품 제조업,2022-08-02
202,13221,침구 및 관련제품 제조업,2022-08-02
203,13222,자수제품 및 자수용 재료 제조업,2022-08-02
204,13223,커튼 및 유사 제품 제조업,2022-08-02
205,13224,천막,2022-08-02
206,13225,직물포대 제조업,2022-08-02
207,13229,기타 직물제품 제조업,2022-08-02
208,133,편조 원단 제조업,2022-08-02
209,1330,편조 원단 제조업,2022-08-02
210,13300,편조 원단 제조업,2022-08-02
211,134,섬유제품 염색,2022-08-02
212,1340,섬유제품 염색,2022-08-02
213,13401,솜 및 실 염색 가공업,2022-08-02
214,13402,직물,2022-08-02
215,13403,날염 가공업,2022-08-02
216,13409,섬유제품 기타 정리 및 마무리 가공업,2022-08-02
217,139,기타 섬유제품 제조업,2022-08-02
218,1391,카펫,2022-08-02
219,13910,카펫,2022-08-02
220,1392,끈,2022-08-02
221,13921,끈 및 로프 제조업,2022-08-02
222,13922,어망 및 기타 끈 가공품 제조업,2022-08-02
223,1399,그 외 기타 섬유제품 제조업,2022-08-02
224,13991,세폭직물 제조업,2022-08-02
225,13992,부직포 및 펠트 제조업,2022-08-02
226,13993,특수사 및 코드직물 제조업,2022-08-02
227,13994,표면처리 및 적층 직물 제조업,2022-08-02
228,13999,그 외 기타 분류 안된 섬유제품 제조업,2022-08-02
229,14,의복,2022-08-02
230,141,봉제의복 제조업,2022-08-02
231,1411,겉옷 제조업,2022-08-02
232,14111,남자용 겉옷 제조업,2022-08-02
233,14112,여자용 겉옷 제조업,2022-08-02
234,1412,속옷 및 잠옷 제조업,2022-08-02
235,14120,속옷 및 잠옷 제조업,2022-08-02
236,1413,한복 제조업,2022-08-02
237,14130,한복 제조업,2022-08-02
238,1419,기타 봉제의복 제조업,2022-08-02
239,14191,셔츠 및 블라우스 제조업,2022-08-02
240,14192,근무복,2022-08-02
241,14193,가죽의복 제조업,2022-08-02
242,14194,유아용 의복 제조업,2022-08-02
243,14199,그 외 기타 봉제의복 제조업,2022-08-02
244,142,모피제품 제조업,2022-08-02
245,1420,모피제품 제조업,2022-08-02
246,14200,모피제품 제조업,2022-08-02
247,143,편조의복 제조업,2022-08-02
248,1430,편조의복 제조업,2022-08-02
249,14300,편조의복 제조업,2022-08-02
250,144,의복 액세서리 제조업,2022-08-02
251,1441,편조 의복 액세서리 제조업,2022-08-02
252,14411,스타킹 및 기타양말 제조업,2022-08-02
253,14419,기타 편조 의복 액세서리 제조업,2022-08-02
254,1449,기타 의복 액세서리 제조업,2022-08-02
255,14491,모자 제조업,2022-08-02
256,14499,그 외 기타 의복 액세서리 제조업,2022-08-02
257,15,가죽,2022-08-02
258,151,가죽,2022-08-02
259,1511,모피 및 가죽 제조업,2022-08-02
260,15110,모피 및 가죽 제조업,2022-08-02
261,1512,핸드백,2022-08-02
262,15121,핸드백 및 지갑 제조업,2022-08-02
263,15129,가방 및 기타 보호용 케이스 제조업,2022-08-02
264,1519,기타 가죽제품 제조업,2022-08-02
265,15190,기타 가죽제품 제조업,2022-08-02
266,152,신발 및 신발 부분품 제조업,2022-08-02
267,1521,신발 제조업,2022-08-02
268,15211,구두류 제조업,2022-08-02
269,15219,기타 신발 제조업,2022-08-02
270,1522,신발 부분품 제조업,2022-08-02
271,15220,신발 부분품 제조업,2022-08-02
272,16,목재 및 나무제품 제조업; 가구 제외,2022-08-02
273,161,제재 및 목재 가공업,2022-08-02
274,1610,제재 및 목재 가공업,2022-08-02
275,16101,일반 제재업,2022-08-02
276,16102,표면 가공목재 및 특정 목적용 제재목 제조업,2022-08-02
277,16103,목재 보존,2022-08-02
278,162,나무제품 제조업,2022-08-02
279,1621,박판,2022-08-02
280,16211,박판,2022-08-02
281,16212,강화 및 재생 목재 제조업,2022-08-02
282,1622,건축용 나무제품 제조업,2022-08-02
283,16221,목재 문 및 관련제품 제조업,2022-08-02
284,16229,기타 건축용 나무제품 제조업,2022-08-02
285,1623,목재 상자,2022-08-02
286,16231,목재 깔판류 및 기타 적재판 제조업,2022-08-02
287,16232,목재 포장용 상자,2022-08-02
288,1629,기타 나무제품 제조업,2022-08-02
289,16291,목재 도구 및 주방용 나무제품 제조업,2022-08-02
290,16292,장식용 목제품 제조업,2022-08-02
291,16299,그 외 기타 나무제품 제조업,2022-08-02
292,163,코르크 및 조물 제품 제조업,2022-08-02
293,1630,코르크 및 조물 제품 제조업,2022-08-02
294,16300,코르크 및 조물 제품 제조업,2022-08-02
295,17,펄프,2022-08-02
296,171,펄프,2022-08-02
297,1711,펄프 제조업,2022-08-02
298,17110,펄프 제조업,2022-08-02
299,1712,종이 및 판지 제조업,2022-08-02
300,17121,신문용지 제조업,2022-08-02
301,17122,인쇄용 및 필기용 원지 제조업,2022-08-02
302,17123,크라프트지 및 상자용 판지 제조업,2022-08-02
303,17124,적층,2022-08-02
304,17125,위생용 원지 제조업,2022-08-02
305,17129,기타 종이 및 판지 제조업,2022-08-02
306,172,골판지,2022-08-02
307,1721,골판지 및 골판지 가공제품 제조업,2022-08-02
308,17211,골판지 제조업,2022-08-02
309,17212,골판지 상자 및 가공제품 제조업,2022-08-02
310,1722,종이 포대,2022-08-02
311,17221,종이 포대 및 가방 제조업,2022-08-02
312,17222,판지 상자 및 용기 제조업,2022-08-02
313,17223,식품 위생용 종이 상자 및 용기 제조업,2022-08-02
314,17229,기타 종이 상자 및 용기 제조업,2022-08-02
315,179,기타 종이 및 판지 제품 제조업,2022-08-02
316,1790,기타 종이 및 판지 제품 제조업,2022-08-02
317,17901,문구용 종이제품 제조업,2022-08-02
318,17902,위생용 종이제품 제조업,2022-08-02
319,17903,벽지 및 장판지 제조업,2022-08-02
320,17909,그 외 기타 종이 및 판지 제품 제조업,2022-08-02
321,18,인쇄 및 기록매체 복제업,2022-08-02
322,181,인쇄 및 인쇄관련 산업,2022-08-02
323,1811,인쇄업,2022-08-02
324,18111,경 인쇄업,2022-08-02
325,18112,스크린 인쇄업,2022-08-02
326,18113,오프셋 인쇄업,2022-08-02
327,18119,기타 인쇄업,2022-08-02
328,1812,인쇄관련 산업,2022-08-02
329,18121,제판 및 조판업,2022-08-02
330,18122,제책업,2022-08-02
331,18129,기타 인쇄관련 산업,2022-08-02
332,182,기록매체 복제업,2022-08-02
333,1820,기록매체 복제업,2022-08-02
334,18200,기록매체 복제업,2022-08-02
335,19,코크스,2022-08-02
336,191,코크스 및 연탄 제조업,2022-08-02
337,1910,코크스 및 연탄 제조업,2022-08-02
338,19101,코크스 및 관련제품 제조업,2022-08-02
339,19102,연탄 및 기타 석탄 가공품 제조업,2022-08-02
340,192,석유 정제품 제조업,2022-08-02
341,1921,원유 정제처리업,2022-08-02
342,19210,원유 정제처리업,2022-08-02
343,1922,석유 정제물 재처리업,2022-08-02
344,19221,윤활유 및 그리스 제조업,2022-08-02
345,19229,기타 석유 정제물 재처리업,2022-08-02
346,20,화학 물질 및 화학제품 제조업; 의약품 제외,2022-08-02
347,201,기초 화학물질 제조업,2022-08-02
348,2011,기초 유기화학 물질 제조업,2022-08-02
349,20111,석유화학계 기초 화학 물질 제조업,2022-08-02
350,20112,천연수지 및 나무 화학 물질 제조업,2022-08-02
351,20119,석탄화학계 화합물 및 기타 기초 유기화학 물질 제조업,2022-08-02
352,2012,기초 무기화학 물질 제조업,2022-08-02
353,20121,산업용 가스 제조업,2022-08-02
354,20129,기타 기초 무기화학 물질 제조업,2022-08-02
355,2013,무기 안료,2022-08-02
356,20131,무기 안료용 금속 산화물 및 관련 제품 제조업,2022-08-02
357,20132,염료,2022-08-02
358,202,합성고무 및 플라스틱 물질 제조업,2022-08-02
359,2020,합성고무 및 플라스틱 물질 제조업,2022-08-02
360,20201,합성고무 제조업,2022-08-02
361,20202,합성수지 및 기타 플라스틱 물질 제조업,2022-08-02
362,20203,혼성 및 재생 플라스틱 소재 물질 제조업,2022-08-02
363,203,비료,2022-08-02
364,2031,비료 및 질소 화합물 제조업,2022-08-02
365,20311,질소 화합물,2022-08-02
366,20312,복합비료 및 기타 화학비료 제조업,2022-08-02
367,20313,유기질 비료 및 상토 제조업,2022-08-02
368,2032,살균ㆍ살충제 및 농약 제조업,2022-08-02
369,20321,화학 살균ㆍ살충제 및 농업용 약제 제조업,2022-08-02
370,20322,생물 살균ㆍ살충제 및 식물보호제 제조업,2022-08-02
371,204,기타 화학제품 제조업,2022-08-02
372,2041,잉크,2022-08-02
373,20411,일반용 도료 및 관련제품 제조업,2022-08-02
374,20412,요업용 도포제 및 관련제품 제조업,2022-08-02
375,20413,인쇄 잉크 및 회화용 물감 제조업,2022-08-02
376,2042,세제,2022-08-02
377,20421,계면활성제 제조업,2022-08-02
378,20422,치약,2022-08-02
379,20423,화장품 제조업,2022-08-02
380,20424,표면 광택제 및 실내 가향제 제조업,2022-08-02
381,2049,그 외 기타 화학제품 제조업,2022-08-02
